entity_address_id,entity_id,address_id,type,link,start_date,end_date
1,10000035,14095990,registered_address,registered address,,
2,10000044,14091035,registered_address,registered address,,
3,10000055,14095990,registered_address,registered address,,
4,10000064,14091429,registered_address,registered address,,
5,10000089,14098253,registered_address,registered address,,
6,10000091,14091429,registered_address,registered address,,
7,10000098,14099188,registered_address,registered address,,
8,10000105,14095990,registered_address,registered address,,
9,10000109,14091429,registered_address,registered address,,
10,10000297,14095271,registered_address,registered address,,
11,10000464,14099155,registered_address,registered address,,
12,10000507,14094124,registered_address,registered address,,
13,10000580,14097397,registered_address,registered address,,
14,10000581,14092297,registered_address,registered address,,
15,10000584,14094414,registered_address,registered address,,
16,10000635,14095990,registered_address,registered address,,
17,10000644,14096319,registered_address,registered address,,
18,10000670,14108530,registered_address,registered address,,
19,10000733,14092130,registered_address,registered address,,
20,10000765,14092387,registered_address,registered address,,
21,10000771,14095991,registered_address,registered address,,
22,10000773,14106269,registered_address,registered address,,
23,10000774,14094620,registered_address,registered address,,
24,10000802,14090945,registered_address,registered address,,
25,10000831,14098364,registered_address,registered address,,
26,10000847,14099319,registered_address,registered address,,
27,10000973,14091921,registered_address,registered address,,
28,10000985,14097922,registered_address,registered address,,
29,10000986,14095990,registered_address,registered address,,
30,10001087,14100320,registered_address,registered address,,
31,10001221,14099344,registered_address,registered address,,
32,10001315,14097685,registered_address,registered address,,
33,10001319,14094124,registered_address,registered address,,
34,10001352,14096911,registered_address,registered address,,
35,10001483,14091429,registered_address,registered address,,
36,10001642,14095991,registered_address,registered address,,
37,10001648,14095991,registered_address,registered address,,
38,10001657,14095991,registered_address,registered address,,
39,10001685,14095991,registered_address,registered address,,
40,10001688,14095732,registered_address,registered address,,
41,10001689,14095732,registered_address,registered address,,
42,10001691,14106748,registered_address,registered address,,
43,10001701,14106748,registered_address,registered address,,
44,10001718,14094390,registered_address,registered address,,
45,10001766,14091429,registered_address,registered address,,
46,10001768,14100341,registered_address,registered address,,
47,10001868,14100669,registered_address,registered address,,
48,10001961,14093409,registered_address,registered address,,
49,10001935,14104355,registered_address,registered address,,
50,10001942,14104487,registered_address,registered address,,
51,10001963,14100362,registered_address,registered address,,
52,10002066,14098253,registered_address,registered address,,
53,10002111,14100420,registered_address,registered address,,
54,10002145,14100483,registered_address,registered address,,
55,10002287,14103186,registered_address,registered address,,
56,10002338,14092017,registered_address,registered address,,
57,10002444,14106269,registered_address,registered address,,
58,10002450,14093104,registered_address,registered address,,
59,10002580,14106952,registered_address,registered address,,
60,10002683,14094124,registered_address,registered address,,
61,10002728,14094124,registered_address,registered address,,
62,10002731,14100177,registered_address,registered address,,
63,10002745,14099188,registered_address,registered address,,
64,10003003,14092131,registered_address,registered address,,
65,10003049,14104230,registered_address,registered address,,
66,10003252,14092078,registered_address,registered address,,
67,10003293,14099727,registered_address,registered address,,
68,10003297,14092034,registered_address,registered address,,
69,10003304,14107881,registered_address,registered address,,
70,10003321,14092870,registered_address,registered address,,
71,10003327,14095608,registered_address,registered address,,
72,10003376,14106269,registered_address,registered address,,
73,10003441,14097142,registered_address,registered address,,
74,10003434,14094622,registered_address,registered address,,
75,10003436,14108620,registered_address,registered address,,
76,10003489,14104741,registered_address,registered address,,
77,10003514,14107958,registered_address,registered address,,
78,10003733,14103345,registered_address,registered address,,
79,10003861,14108363,registered_address,registered address,,
80,10003976,14091429,registered_address,registered address,,
81,10003977,14107163,registered_address,registered address,,
82,10004015,14095523,registered_address,registered address,,
83,10004073,14108363,registered_address,registered address,,
84,10004076,14091686,registered_address,registered address,,
85,10004066,14096887,registered_address,registered address,,
86,10004081,14098209,registered_address,registered address,,
87,10004089,14095272,registered_address,registered address,,
88,10004108,14092871,registered_address,registered address,,
89,10004140,14107144,registered_address,registered address,,
90,10004188,14094917,registered_address,registered address,,
91,10004222,14104576,registered_address,registered address,,
92,10004268,14097099,registered_address,registered address,,
93,10004287,14092671,registered_address,registered address,,
94,10004295,14101432,registered_address,registered address,,
95,10004383,14093409,registered_address,registered address,,
96,10004390,14108336,registered_address,registered address,,
97,10004392,14106269,registered_address,registered address,,
98,10004412,14092014,registered_address,registered address,,
99,10004420,14103231,registered_address,registered address,,
100,10004423,14096099,registered_address,registered address,,
101,10004460,14101133,registered_address,registered address,,
102,10004466,14091711,registered_address,registered address,,
103,10004476,14105796,registered_address,registered address,,
104,10004566,14094154,registered_address,registered address,,
105,10004570,14103574,registered_address,registered address,,
106,10004571,14097207,registered_address,registered address,,
107,10004777,14099154,registered_address,registered address,,
108,10004674,14108905,registered_address,registered address,,
109,10004680,14101791,registered_address,registered address,,
110,10004681,14103528,registered_address,registered address,,
111,10004699,14103733,registered_address,registered address,,
112,10004700,14093753,registered_address,registered address,,
113,10004767,14095990,registered_address,registered address,,
114,10004769,14103901,registered_address,registered address,,
115,10004824,14107228,registered_address,registered address,,
116,10004887,14094134,registered_address,registered address,,
117,10004939,14092635,registered_address,registered address,,
118,10004968,14092235,registered_address,registered address,,
119,10005010,14095266,registered_address,registered address,,
120,10005038,14108888,registered_address,registered address,,
121,10005052,14105658,registered_address,registered address,,
122,10005061,14099690,registered_address,registered address,,
123,10005110,14092268,registered_address,registered address,,
124,10005115,14105670,registered_address,registered address,,
125,10005123,14101807,registered_address,registered address,,
126,10005156,14107926,registered_address,registered address,,
127,10005189,14108256,registered_address,registered address,,
128,10005245,14093176,registered_address,registered address,,
129,10005246,14094416,registered_address,registered address,,
130,10005250,14098521,registered_address,registered address,,
131,10005348,14102947,registered_address,registered address,,
132,10005364,14106489,registered_address,registered address,,
133,10005365,14090794,registered_address,registered address,,
134,10005377,14104482,registered_address,registered address,,
135,10005397,14107480,registered_address,registered address,,
136,10005407,14101099,registered_address,registered address,,
137,10005463,14101258,registered_address,registered address,,
138,10005474,14095981,registered_address,registered address,,
139,10005496,14097605,registered_address,registered address,,
140,10005503,14099878,registered_address,registered address,,
141,10005505,14107909,registered_address,registered address,,
142,10005518,14108674,registered_address,registered address,,
143,10005531,14109065,registered_address,registered address,,
144,10005538,14104022,registered_address,registered address,,
145,10005539,14097158,registered_address,registered address,,
146,10005542,14097796,registered_address,registered address,,
147,10005559,14092135,registered_address,registered address,,
148,10005572,14103504,registered_address,registered address,,
149,10005579,14107986,registered_address,registered address,,
150,10005601,14103295,registered_address,registered address,,
151,10005613,14093120,registered_address,registered address,,
152,10005637,14104533,registered_address,registered address,,
153,10005677,14100573,registered_address,registered address,,
154,10005740,14100501,registered_address,registered address,,
155,10005775,14091040,registered_address,registered address,,
156,10005804,14108039,registered_address,registered address,,
157,10005830,14093248,registered_address,registered address,,
158,10005867,14099831,registered_address,registered address,,
159,10005899,14106353,registered_address,registered address,,
160,10005925,14092808,registered_address,registered address,,
161,10005943,14099823,registered_address,registered address,,
162,10006015,14092030,registered_address,registered address,,
163,10006021,14105056,registered_address,registered address,,
164,10006024,14103944,registered_address,registered address,,
165,10006046,14101135,registered_address,registered address,,
166,10006084,14094221,registered_address,registered address,,
167,10006085,14108955,registered_address,registered address,,
168,10006108,14107517,registered_address,registered address,,
169,10006146,14096132,registered_address,registered address,,
170,10006174,14093230,registered_address,registered address,,
171,10006202,14096088,registered_address,registered address,,
172,10006222,14101182,registered_address,registered address,,
173,10006266,14104576,registered_address,registered address,,
174,10006295,14108713,registered_address,registered address,,
175,10006304,14103342,registered_address,registered address,,
176,10006307,14109041,registered_address,registered address,,
177,10006308,14090776,registered_address,registered address,,
178,10006313,14108204,registered_address,registered address,,
179,10006366,14090953,registered_address,registered address,,
180,10006374,14103388,registered_address,registered address,,
181,10006378,14103294,registered_address,registered address,,
182,10006388,14091701,registered_address,registered address,,
183,10006397,14096313,registered_address,registered address,,
184,10006458,14093409,registered_address,registered address,,
185,10006464,14093957,registered_address,registered address,,
186,10006482,14093880,registered_address,registered address,,
187,10006628,14095826,registered_address,registered address,,
188,10006670,14100550,registered_address,registered address,,
189,10006722,14099451,registered_address,registered address,,
190,10006696,14107407,registered_address,registered address,,
191,10006708,14102837,registered_address,registered address,,
192,10006736,14093977,registered_address,registered address,,
193,10006763,14103139,registered_address,registered address,,
194,10006784,14108363,registered_address,registered address,,
195,10006807,14094174,registered_address,registered address,,
196,10006872,14105809,registered_address,registered address,,
197,10006893,14094308,registered_address,registered address,,
198,10006977,14043170,registered_address,registered address,,
199,10007169,14090874,registered_address,registered address,,
200,10006963,14095139,registered_address,registered address,,
201,10006970,14104226,registered_address,registered address,,
202,10006990,14097169,registered_address,registered address,,
203,10007006,14105901,registered_address,registered address,,
204,10007007,14098793,registered_address,registered address,,
205,10007043,14092009,registered_address,registered address,,
206,10007086,14093957,registered_address,registered address,,
207,10007125,14108698,registered_address,registered address,,
208,10007140,14108218,registered_address,registered address,,
209,10007170,14104552,registered_address,registered address,,
210,10007196,14093140,registered_address,registered address,,
211,10007197,14092788,registered_address,registered address,,
212,10007243,14093000,registered_address,registered address,,
213,10007358,14096507,registered_address,registered address,,
214,10007404,14105476,registered_address,registered address,,
215,10007418,14097822,registered_address,registered address,,
216,10007423,14107356,registered_address,registered address,,
217,10007433,14097473,registered_address,registered address,,
218,10007461,14108363,registered_address,registered address,,
219,10007468,14099793,registered_address,registered address,,
220,10007493,14093700,registered_address,registered address,,
221,10007496,14097878,registered_address,registered address,,
222,10007506,14079996,registered_address,registered address,,
223,10007508,14098232,registered_address,registered address,,
224,10007510,14103242,registered_address,registered address,,
225,10007523,14098747,registered_address,registered address,,
226,10007661,14105347,registered_address,registered address,,
227,10007689,14101305,registered_address,registered address,,
228,10007692,14097183,registered_address,registered address,,
229,10007711,14108363,registered_address,registered address,,
230,10007741,14107038,registered_address,registered address,,
231,10007803,14098672,registered_address,registered address,,
232,10007818,14092981,registered_address,registered address,,
233,10007830,14106151,registered_address,registered address,,
234,10007888,14103221,registered_address,registered address,,
235,10007897,14105496,registered_address,registered address,,
236,10007975,14092411,registered_address,registered address,,
237,10007976,14106383,registered_address,registered address,,
